name,throw1,throw2,throw3,throw4,throw5,throw6
Hattestad,68.91,62.27,NA,64.38,66.22,64.09
Maniani-Tzelili,NA,65.56,67.51,61.96,65.34,67.51
Menéndez,66.03,64.99,65.17,63.95,62.47,66.18
Nerius,61.99,61.41,64.84,57.88,61.11,61.02
Bisset,63.26,62.77,NA,NA,62.85,63.11
Rivero,62.10,62.92,NA,60.20,NA,NA
Shikolenko,58.28,62.91,61.54,NA,NA,61.97
Tomečková,58.13,55.86,58.69,56.12,61.30,62.10
