name,throw1,throw2,throw3,throw4,throw5,throw6
Shiying,66.34,NA,63.40,NA,NA,NA
Andrejczyk,62.56,64.61,61.03,63.62,64.45,59.31
Barber,61.98,63.69,63.34,64.04,58.85,64.56
Tuğsuz,NA,NA,62.13,62.17,63.35,64.00
Huihui,62.83,63.11,63.41,61.85,59.54,59.44
Mitchell,61.82,61.66,60.08,NA,NA,NA
Jasiūnaitė,60.06,58.66,59.09,55.64,58.39,NA
Little,59.96,57.80,55.47,54.76,54.94,54.51
