name,throw1,throw2,throw3,throw4,throw5,throw6
Menéndez,71.53,NA,65.41,68.60,63.64,NA
Nerius,63.02,60.58,NA,NA,63.60,65.82
Manjani,62.29,63.61,NA,62.20,NA,64.29
Brejchová,62.46,63.77,64.23,NA,63.77,62.55
Bisset,61.93,59.58,60.39,60.32,60.20,63.54
Eve,57.25,58.09,62.77,58.50,NA,59.02
Bicet,62.36,60.64,60.70,62.51,60.41,61.61
Lyakhovych,59.52,57.26,61.75,NA,57.39,55.70
