name,throw1,throw2,throw3,throw4,throw5,throw6
Kolak,60.89,62.95,63.00,66.18,NA,59.42
Viljoen,64.92,61.04,NA,63.00,NA,NA
Špotáková,60.16,63.73,NA,61.25,64.80,NA
Andrejczyk,61.92,59.25,60.23,59.31,64.78,63.69
Khaladovich,62.68,60.24,64.60,60.49,63.52,64.24
Mitchell,NA,64.36,NA,NA,62.20,63.02
Huihui,60.32,63.50,59.56,64.04,NA,56.96
Obergföll,60.17,62.28,NA,NA,NA,62.92
