name,throw1,throw2,throw3,throw4,throw5,throw6
Kitaguchi,65.80,62.39,NA,61.68,64.73,NA
Dyk,59.72,61.72,63.93,NA,62.07,57.07
Ogrodníková,58.13,NA,63.68,58.34,61.45,58.04
Kolak,57.86,58.85,63.40,58.43,62.31,63.03
Ruiz,60.49,63.00,62.41,61.68,60.14,61.35
Aguilar,62.78,NA,60.17,NA,61.58,NA
Mitchell,62.63,59.57,60.31,62.16,NA,NA
Andrejczyk,62.44,60.52,NA,NA,NA,57.74
