name,throw1,throw2,throw3,throw4,throw5,throw6
Renk,67.24,62.08,65.34,65.62,65.62,68.34
Shikolenko,68.26,67.42,NA,NA,NA,NA
Forkel,65.02,NA,62.76,65.84,66.86,66.80
Sanderson,63.58,NA,62.60,NA,NA,59.80
Hattestad,59.52,58.52,63.54,NA,59.70,NA
Rantanen,62.34,59.62,NA,58.02,61.36,58.76
Meier,NA,58.36,58.34,NA,57.54,59.02
García,54.56,58.00,58.26,NA,NA,NA
