NA,78.74,84.34,86.76,NA,NA
85.74,81.52,NA,NA,83.92,84.46
NA,80.28,NA,NA,83.72,83.3
82,82.46,NA,78.88,NA,72.08
NA,81.98,NA,81.98,77.92,81.66
80.44,77.66,79.22,81.58,NA,79.26
70.2,81.22,78.22,76.68,NA,78.82
NA,NA,80.68,NA,NA,NA
82.74,76.26,NA,NA,NA,84.28
NA,82.32,81.6,83.46,77.88,84.12
80,76.26,83.26,78.74,80.66,80.44
80.14,78.72,78.28,NA,77.76,82.72
81.42,82.32,NA,80.38,81.42,79.52
80.66,81.3,79.94,77.26,77.8,78.28
76.48,76.58,79.12,NA,77.32,74.64
76.88,75.62,78.3,NA,76.6,NA
89.66,NA,NA,88.18,86.28,NA
78.5,86.6,81.44,83.22,NA,NA
82.44,82.02,79.46,83.38,78.32,79.86
NA,82.62,NA,NA,NA,NA
79.52,75.02,77.96,NA,NA,80.34
77.44,NA,74.56,76.92,79.2,78.46
78.64,78.58,NA,77.7,74.12,NA
77,NA,77.74,NA,NA,73.42
NA,88.16,82.68,83.86,86.02,86.12
87.44,85.66,NA,80.74,80.88,85.64
83.44,86.66,76.52,84.52,81.7,86.98
83.88,86.88,NA,83.1,NA,85.1
81.24,85.68,NA,82.58,83.94,84.08
82.72,85.3,81.12,NA,82.28,83.78
82.72,80.26,NA,84.02,81.98,NA
78.48,80.9,83.58,81.28,82.18,81.68
89.41,NA,90.17,NA,NA,88.97
86.25,89.85,NA,80.99,NA,NA
88.67,85.9,NA,NA,86.67,85.3
87.76,NA,NA,NA,76.11,NA
86.62,82.49,84.01,NA,NA,78.42
85.06,NA,83.73,83.53,86.53,83.32
82.94,80.78,83.45,NA,85.78,83.31
76.13,78.55,83.33,NA,NA,77.19
84.82,86.5,80.96,NA,NA,NA
84.95,83.95,NA,NA,79.07,80.91
84.84,NA,77.59,78,82.51,84.32
79.62,81.48,84.13,83.02,NA,81.62
83.31,82.76,81.36,80.28,78.07,79.99
83.25,82.72,NA,NA,76.41,NA
77.13,83.14,81.69,NA,NA,78.63
80.38,83.01,NA,NA,81.19,NA
84.72,85.91,87.93,85.13,90.57,NA
79.45,82.63,82.28,78.98,80.65,86.64
83.75,NA,80.69,85.83,NA,86.16
83.95,NA,NA,NA,NA,83.63
NA,73.9,83.46,NA,NA,78.23
83.45,80.59,82.2,NA,NA,NA
82.54,NA,76.84,82.15,NA,83.15
82.06,77.57,74.09,NA,NA,75.36
83.51,84.58,NA,80.64,NA,NA
79.6,81.09,81.6,81.97,84.12,79.88
NA,81.69,81.8,NA,80.32,83.34
77.33,82.68,80.67,80.46,82.8,82.53
NA,82.63,NA,81.7,NA,NA
81.21,81.91,81.27,80.36,NA,79.45
76.99,74.33,81.21,79.95,76.36,75.85
76.8,76.64,80.22,NA,NA,NA
87.4,85.61,87.07,84.84,90.3,NA
88.24,NA,NA,NA,NA,NA
83.45,85.38,83.38,80.33,NA,NA
85.32,NA,82.54,NA,83.61,81.74
82.51,83.95,83.64,81.61,81.21,NA
NA,77.81,83.05,NA,NA,80
78.2,82.51,NA,NA,NA,78.63
80.02,82.42,81.59,80.32,NA,NA
87.03,87.58,76.79,NA,NA,84.24
83.98,NA,NA,82.86,86.67,NA
79.73,80.3,85.44,NA,84.98,NA
85.3,77.9,78,83.1,85.15,75.72
82.4,NA,84.62,82.91,81.98,NA
82.49,81.03,83.71,79.24,NA,NA
81.16,81.73,82.84,81.9,83.3,81.09
78.43,76.59,83.28,79.2,79.99,83.05
NA,92.97,88.72,79.4,84.87,91.79
NA,89.45,NA,NA,NA,NA
84.7,87.87,NA,88.54,87.38,81.83
80.15,84.52,88.5,NA,84.98,83.27
80.29,87.72,NA,84.9,83.2,81.58
NA,87.33,NA,86.85,87.4,84.09
86.16,NA,82.89,78.96,76.86,NA
78.81,77.6,84.58,82.02,NA,81.69
