names,throw1,throw2,throw3,throw4,throw5,throw6,year,no_throws
Eldebrink,NA,80.28,NA,NA,83.72,83.3,1984,3
Farquhar,76.8,76.64,80.22,NA,NA,NA,2012,3
Gambke,82,82.46,NA,78.88,NA,72.08,1984,2
Gatsioudis,85.06,NA,83.73,83.53,86.53,83.32,2000,1
Gonzales,76.13,78.55,83.33,NA,NA,77.19,2000,2
Haber,76.99,74.33,81.21,79.95,76.36,75.85,2012,0
Harkonen,NA,78.74,84.34,86.76,NA,NA,1984,3
Ivanov,83.31,82.76,81.36,80.28,78.07,79.99,2004,0
Jarvenpaa,83.95,NA,NA,NA,NA,83.63,2008,4
Katkavets,82.49,81.03,83.71,79.24,NA,NA,2020,2
Kazlou,82.06,77.57,74.09,NA,NA,75.36,2008,2
Korjus,82.74,76.26,NA,NA,NA,84.28,1988,3
Korotkov,82.54,NA,76.84,82.15,NA,83.15,2008,2
Kosynskyy,82.51,83.95,83.64,81.61,81.21,NA,2016,1
Kovals,79.45,82.63,82.28,78.98,80.65,86.64,2008,0
Laukkanen,77.44,NA,74.56,76.92,79.2,78.46,1992,1
Lebesis,81.21,81.91,81.27,80.36,NA,79.45,2012,1
Mardare,81.16,81.73,82.84,81.9,83.3,81.09,2020,0
Ottley,85.74,81.52,NA,NA,83.92,84.46,1984,2
Ovchinnikov,76.48,76.58,79.12,NA,77.32,74.64,1988,1
Parviainen,86.62,82.49,84.01,NA,NA,78.42,2000,2
Peters,84.7,87.87,NA,88.54,87.38,81.83,2024,1
Pukstys,78.48,80.9,83.58,81.28,82.18,81.68,1996,0
Shevchuk,77,NA,77.74,NA,NA,73.42,1992,3
Rags,77.13,83.14,81.69,NA,NA,78.63,2004,2
Rohler,87.4,85.61,87.07,84.84,90.3,NA,2016,1
Tafelmeier,80.14,78.72,78.28,NA,77.76,82.72,1988,1
Varnik,83.25,82.72,NA,NA,76.41,NA,2004,3
Vasilevskis,84.95,83.95,NA,NA,79.07,80.91,2004,2
Vetter,85.32,NA,82.54,NA,83.61,81.74,2016,2
Vilhjalmsson,80.44,77.66,79.22,81.58,NA,79.26,1984,1
WeiĂź,80.66,81.3,79.94,77.26,77.8,78.28,1988,0
Wennlund,76.88,75.62,78.3,NA,76.6,NA,1988,2
Wirkkala,NA,73.9,83.46,NA,NA,78.23,2008,3
Yevsyukov,81.42,82.32,NA,80.38,81.42,79.52,1988,1
Yoshida,NA,81.98,NA,81.98,77.92,81.66,1984,2
